Unnamed: 0,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
10071,dc:a6:32:26:67:ab,39.602448,10.800557,80,-61,2022-07-11T14:13:02.029+0100,2022-07-11 14:13:02,2.334396852343877,11,,
10072,dc:a6:32:26:67:ab,39.605198,10.795058,80,-62,2022-07-11T14:13:04.053+0100,2022-07-11 14:13:04,2.3401433026906715,11,,
10073,dc:a6:32:26:67:ab,39.605198,10.795058,80,-62,2022-07-11T14:13:04.053+0100,2022-07-11 14:13:05,2.3401433026906715,11,,
10074,dc:a6:32:26:67:ab,40.0,10.385134,96,-62,2022-07-11T14:13:06.127+0100,2022-07-11 14:13:06,2.8097474679187795,11,,
10075,dc:a6:32:26:67:ab,40.0,10.385134,96,-62,2022-07-11T14:13:06.127+0100,2022-07-11 14:13:07,2.8097474679187795,11,,
10076,dc:a6:32:26:67:ab,40.000004,10.307283,80,-63,2022-07-11T14:13:08.143+0100,2022-07-11 14:13:08,2.8856704447502306,11,,
10077,dc:a6:32:26:67:ab,40.000004,10.307283,80,-63,2022-07-11T14:13:08.143+0100,2022-07-11 14:13:09,2.8856704447502306,11,,
10078,dc:a6:32:26:67:ab,40.0,10.0,96,-61,2022-07-11T14:13:10.211+0100,2022-07-11 14:13:10,3.1862480907801256,11,,
10079,dc:a6:32:26:67:ab,40.0,10.0,96,-61,2022-07-11T14:13:10.211+0100,2022-07-11 14:13:12,3.1862480907801256,11,,
10080,dc:a6:32:26:67:ab,40.0,10.580715,80,-63,2022-07-11T14:13:12.247+0100,2022-07-11 14:13:13,2.619511939737057,11,,
10081,dc:a6:32:26:67:ab,40.0,10.568134,96,-61,2022-07-11T14:13:14.297+0100,2022-07-11 14:13:14,2.6317255019237846,11,,
10082,dc:a6:32:26:67:ab,40.0,10.568134,96,-61,2022-07-11T14:13:14.297+0100,2022-07-11 14:13:15,2.6317255019237846,11,,
10083,dc:a6:32:26:67:ab,40.0,10.496373,80,-61,2022-07-11T14:13:16.291+0100,2022-07-11 14:13:16,2.701455145762927,11,,
10084,dc:a6:32:26:67:ab,40.0,10.496373,80,-61,2022-07-11T14:13:16.291+0100,2022-07-11 14:13:17,2.701455145762927,11,,
10085,dc:a6:32:26:67:ab,42.93796,6.7410893,96,-61,2022-07-11T14:13:18.393+0100,2022-07-11 14:13:18,7.311849764763939,11,,
10086,dc:a6:32:26:67:ab,42.93796,6.7410893,96,-61,2022-07-11T14:13:18.393+0100,2022-07-11 14:13:19,7.311849764763939,11,,
10087,dc:a6:32:26:67:ab,42.80568,6.8603115,104,-61,2022-07-11T14:13:20.401+0100,2022-07-11 14:13:20,7.143467216509939,11,,
10088,dc:a6:32:26:67:ab,42.80568,6.8603115,104,-61,2022-07-11T14:13:20.401+0100,2022-07-11 14:13:22,7.143467216509939,11,,
10089,dc:a6:32:26:67:ab,42.188484,6.9084077,80,-61,2022-07-11T14:13:22.423+0100,2022-07-11 14:13:23,6.824150730932846,11,,
10090,dc:a6:32:26:67:ab,45.219418,2.968977,96,-62,2022-07-11T14:13:24.464+0100,2022-07-11 14:13:24,11.71862829638917,11,,
10091,dc:a6:32:26:67:ab,45.219418,2.968977,96,-62,2022-07-11T14:13:24.464+0100,2022-07-11 14:13:25,11.71862829638917,11,,
10092,dc:a6:32:26:67:ab,45.688786,2.2142763,96,-61,2022-07-11T14:13:26.535+0100,2022-07-11 14:13:26,12.606908926776686,11,,
10093,dc:a6:32:26:67:ab,45.688786,2.2142763,96,-61,2022-07-11T14:13:26.535+0100,2022-07-11 14:13:27,12.606908926776686,11,,
10094,dc:a6:32:26:67:ab,41.30899,7.788565,80,-61,2022-07-11T14:13:28.554+0100,2022-07-11 14:13:29,5.676214379331087,11,,
10095,dc:a6:32:26:67:ab,41.30899,7.788565,80,-61,2022-07-11T14:13:28.554+0100,2022-07-11 14:13:30,5.676214379331087,11,,
10096,dc:a6:32:26:67:ab,41.474197,7.658494,96,-61,2022-07-11T14:13:30.593+0100,2022-07-11 14:13:31,5.855943028039547,11,,
10097,dc:a6:32:26:67:ab,41.474197,7.658494,96,-61,2022-07-11T14:13:30.593+0100,2022-07-11 14:13:32,5.855943028039547,11,,
10098,dc:a6:32:26:67:ab,47.705215,2.0047646,80,-61,2022-07-11T14:13:32.656+0100,2022-07-11 14:13:33,13.89595765455286,11,,
